system,intent_id,rep,complexity,ue_band,scenario,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
mas,N09,3,complex,200,bursty-headroom,140.701,0.0,0.8875,0,1,0.2,
mas,N09,4,complex,200,bursty-headroom,141.619,0.0,0.8875,0,1,0.2,
mas,N10,0,complex,200,sinusoidal-autoscale,139.056,0.0,0.9234,0,1,0.2,
mas,N10,1,complex,200,sinusoidal-autoscale,139.616,0.0,0.9234,0,1,0.2,
mas,N10,2,complex,200,sinusoidal-autoscale,139.231,0.0,0.9234,0,1,0.2,
mas,N10,3,complex,200,sinusoidal-autoscale,139.742,0.0,0.9234,0,1,0.2,
mas,N10,4,complex,200,sinusoidal-autoscale,143.405,0.0,0.9234,0,1,0.2,
mas,N11,0,complex,500,sinusoidal-autoscale,140.172,0.0,0.7949,0,1,0.2,
mas,N11,1,complex,500,sinusoidal-autoscale,141.515,0.0,0.7949,0,1,0.2,
mas,N11,2,complex,500,sinusoidal-autoscale,141.295,0.0,0.7949,0,1,0.2,
mas,N11,3,complex,500,sinusoidal-autoscale,139.556,0.0,0.7949,0,1,0.2,
mas,N11,4,complex,500,sinusoidal-autoscale,139.484,0.0,0.7949,0,1,0.2,
