system,intent_id,rep,complexity,ue_band,scenario,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
b4,S05,4,simple,200,steady,28.157,1.0,0.4177,0,0,0.0,
b4,S06,0,simple,50,steady,10.606,1.0,0.5025,1,0,0.0,
b4,S06,1,simple,50,steady,10.151,0.0,0.5025,1,0,0.0,
b4,S06,2,simple,50,steady,12.393,1.0,0.6615,1,0,0.0,
b4,S06,3,simple,50,steady,11.587,1.0,0.0255,1,0,0.0,
b4,S06,4,simple,50,steady,10.42,1.0,0.3847,1,0,0.0,
b4,N01,0,simple,500,steady,32.491,1.0,0.7419,0,0,0.0,
b4,N01,1,simple,500,steady,31.625,1.0,0.5011,0,0,0.0,
b4,N01,2,simple,500,steady,29.123,1.0,0.5011,0,0,0.0,
b4,N01,3,simple,500,steady,31.066,1.0,0.0,0,0,0.0,
b4,N01,4,simple,500,steady,29.275,1.0,0.375,0,0,0.0,
b4,M01,0,medium,500,steady,28.117,1.0,0.7353,0,0,0.0,
b4,M01,1,medium,500,steady,30.07,1.0,0.1241,0,0,0.0,
b4,M01,2,medium,500,steady,28.577,1.0,0.0629,0,0,0.0,
b4,M01,3,medium,500,steady,27.855,1.0,0.0931,0,0,0.0,
b4,M01,4,medium,500,steady,30.065,1.0,0.7591,0,0,0.0,
b4,M02,0,medium,200,steady,26.577,1.0,0.7881,0,0,0.0,
b4,M02,1,medium,200,steady,26.929,1.0,0.6103,0,0,0.0,
b4,M02,2,medium,200,steady,25.637,1.0,0.6557,0,0,0.0,
b4,M02,3,medium,200,steady,33.098,0.125,0.5599,0,0,0.0,
b4,M02,4,medium,200,steady,27.959,1.0,0.6557,0,0,0.0,
b4,M03,0,medium,500,fault-HA,25.844,1.0,0.3222,0,0,0.0,
b4,M03,1,medium,500,fault-HA,26.779,1.0,0.0,0,0,0.0,
b4,M03,2,medium,500,fault-HA,31.568,0.125,0.7441,0,0,0.0,
b4,M03,3,medium,500,fault-HA,25.801,0.125,0.7348,0,0,0.0,
b4,M03,4,medium,500,fault-HA,26.036,1.0,0.5254,0,0,0.0,
b4,M04,0,medium,500,steady,29.647,1.0,0.5299,0,0,0.0,
b4,M04,1,medium,500,steady,28.401,1.0,0.6175,0,0,0.0,
