system,intent_id,rep,complexity,ue_band,scenario,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
mas,M04,2,medium,500,steady,144.448,0.2,0.5769,0,1,0.2,
mas,M04,3,medium,500,steady,143.119,0.2,0.5769,0,1,0.2,
mas,M04,4,medium,500,steady,143.597,0.2,0.5769,0,1,0.2,
mas,M05,0,medium,500,steady,140.05,0.0,0.4957,0,1,0.2,
mas,M05,1,medium,500,steady,139.057,0.0,0.4957,0,1,0.2,
mas,M05,2,medium,500,steady,141.161,0.0,0.4957,0,1,0.2,
mas,M05,3,medium,500,steady,139.468,0.0,0.4957,0,1,0.2,
mas,M05,4,medium,500,steady,139.324,0.0,0.4957,0,1,0.2,
mas,M06,0,medium,200,fault-HA,174.546,0.2,0.6976,0,1,0.2,
mas,M06,1,medium,200,fault-HA,141.998,0.2,0.6976,0,1,0.2,
mas,M06,2,medium,200,fault-HA,143.275,0.2,0.6976,1,0,0.2,
mas,M06,3,medium,200,fault-HA,143.693,0.2,0.6976,1,0,0.2,
mas,M06,4,medium,200,fault-HA,143.289,0.2,0.6976,1,0,0.2,
mas,M07,0,medium,200,steady,143.036,0.2,0.9443,0,1,0.2,
mas,M07,1,medium,200,steady,143.607,0.2,0.9443,0,1,0.2,
mas,M07,2,medium,200,steady,142.673,0.2,0.9443,0,1,0.2,
mas,M07,3,medium,200,steady,143.184,0.2,0.9443,0,1,0.2,
mas,M07,4,medium,200,steady,142.874,0.2,0.9443,0,1,0.2,
mas,M08,0,medium,500,bursty-headroom,144.008,0.2,0.3827,0,1,0.2,
mas,M08,1,medium,500,bursty-headroom,143.95,0.2,0.3916,0,1,0.2,
mas,M08,2,medium,500,bursty-headroom,145.077,0.2,0.3827,0,1,0.2,
mas,M08,3,medium,500,bursty-headroom,144.367,0.2,0.3916,0,1,0.2,
mas,M08,4,medium,500,bursty-headroom,143.862,0.2,0.3916,0,1,0.2,
mas,M09,0,medium,200,steady,744.872,0.2,0.0,1,0,0.2,
mas,M09,1,medium,200,steady,142.576,0.2,0.9474,0,1,0.2,
mas,M09,2,medium,200,steady,142.05,0.2,0.9474,0,1,0.2,
mas,M09,3,medium,200,steady,142.871,0.2,0.9474,0,1,0.2,
mas,M09,4,medium,200,steady,142.998,0.2,0.9474,0,1,0.2,
mas,M10,0,medium,200,steady,141.361,0.0,0.872,0,1,0.2,
mas,M10,1,medium,200,steady,144.576,0.2,0.872,0,1,0.2,
mas,M10,2,medium,200,steady,139.903,0.0,0.872,0,1,0.2,
mas,M10,3,medium,200,steady,144.033,0.2,0.872,0,1,0.2,
mas,M10,4,medium,200,steady,144.188,0.2,0.872,0,1,0.2,
mas,N02,0,medium,50,steady,144.437,0.2,0.8999,0,1,0.2,
mas,N02,1,medium,50,steady,144.196,0.2,0.8999,0,1,0.2,
mas,N02,2,medium,50,steady,142.467,0.2,0.8999,0,1,0.2,
mas,N02,3,medium,50,steady,144.167,0.2,0.8999,0,1,0.2,
mas,N02,4,medium,50,steady,144.004,0.2,0.8999,0,1,0.2,
mas,N03,0,medium,200,bursty-headroom,142.444,0.2,0.9238,0,1,0.2,
mas,N03,1,medium,200,bursty-headroom,143.518,0.2,0.9238,0,1,0.2,
mas,N03,2,medium,200,bursty-headroom,143.125,0.2,0.9238,0,1,0.2,
mas,N03,3,medium,200,bursty-headroom,143.313,0.2,0.9238,0,1,0.2,
mas,N03,4,medium,200,bursty-headroom,143.614,0.2,0.9238,0,1,0.2,
mas,N04,0,medium,500,sinusoidal-autoscale,143.577,0.2,0.7956,0,1,0.2,
mas,N04,1,medium,500,sinusoidal-autoscale,143.963,0.2,0.7956,0,1,0.2,
mas,N04,2,medium,500,sinusoidal-autoscale,145.343,0.2,0.7956,0,1,0.2,
mas,N04,3,medium,500,sinusoidal-autoscale,143.44,0.2,0.7956,0,1,0.2,
mas,N04,4,medium,500,sinusoidal-autoscale,144.879,0.2,0.7956,0,1,0.2,
mas,N05,0,medium,200,sinusoidal-autoscale,142.899,0.2,0.9474,0,1,0.2,
mas,N05,1,medium,200,sinusoidal-autoscale,142.407,0.2,0.9474,0,1,0.2,
mas,N05,2,medium,200,sinusoidal-autoscale,142.711,0.2,0.9474,0,1,0.2,
mas,N05,3,medium,200,sinusoidal-autoscale,143.092,0.2,0.9474,0,1,0.2,
mas,N05,4,medium,200,sinusoidal-autoscale,143.034,0.2,0.9474,0,1,0.2,
mas,N06,0,medium,50,fault-HA,142.793,0.2,0.7013,1,0,0.2,
mas,N06,1,medium,50,fault-HA,142.402,0.2,0.7013,1,0,0.2,
mas,N06,2,medium,50,fault-HA,143.109,0.2,0.7013,1,0,0.2,
mas,N06,3,medium,50,fault-HA,141.383,0.2,0.7013,1,0,0.2,
mas,N06,4,medium,50,fault-HA,142.181,0.2,0.7013,1,0,0.2,
